Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke];;;;
Sayı;Zaman;Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke]-avg[Wh];Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke]-min[Wh];Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke]-max[Wh]
381;11.08.2019 14:30;30696594;30638400;30755400
382;11.08.2019 14:45;30817850;30757800;30876600
383;11.08.2019 15:00;30940432;30880800;31000200
384;11.08.2019 15:15;31058726;31002600;31121400
385;11.08.2019 15:30;31181546;31121400;31240800
386;11.08.2019 15:45;31299260;31240800;31356000
387;11.08.2019 16:00;31414714;31359600;31471200
388;11.08.2019 16:15;31533108;31473600;31590600
389;11.08.2019 16:30;31647372;31593000;31704000
390;11.08.2019 16:45;31763432;31708200;31813800
391;11.08.2019 17:00;31874072;31818000;31929600
392;11.08.2019 17:15;31986364;31932000;32044200
393;11.08.2019 17:30;32100974;32046600;32155800
394;11.08.2019 17:45;32214058;32160000;32269800
395;11.08.2019 18:00;32328508;32273400;32383800
396;11.08.2019 18:15;32438522;32385600;32491200
397;11.08.2019 18:30;32550312;32497200;32608800
398;11.08.2019 18:45;32666816;32610600;32725800
399;11.08.2019 19:00;32782082;32727600;32841600
400;11.08.2019 19:15;32898572;32843400;32956800
401;11.08.2019 19:30;33015556;32959200;33071400
402;11.08.2019 19:45;33127448;33073200;33184200
403;11.08.2019 20:00;33243206;33186600;33298200
404;11.08.2019 20:15;33354874;33300600;33409200
405;11.08.2019 20:30;33467436;33411000;33525000
406;11.08.2019 20:45;33584208;33528600;33639600
407;11.08.2019 21:00;33696796;33639600;33753000
408;11.08.2019 21:15;33811544;33754800;33867600
409;11.08.2019 21:30;33923904;33870000;33981000
410;11.08.2019 21:45;34038112;33982800;34094400
411;11.08.2019 22:00;34152028;34096200;34200600
412;11.08.2019 22:15;34247220;34202400;34285200
413;11.08.2019 22:30;34321036;34286400;34354200
414;11.08.2019 22:45;34382736;34355400;34413600
415;11.08.2019 23:00;34442732;34414800;34468800
416;11.08.2019 23:15;34493420;34469400;34518600
417;11.08.2019 23:30;34544692;34519200;34568400
418;11.08.2019 23:45;34591160;34568400;34611000
419;12.08.2019 00:00;34629784;34611600;34648800
420;12.08.2019 00:15;34666816;34649400;34684800
421;12.08.2019 00:30;34702640;34686000;34720200
422;12.08.2019 00:45;34736996;34720800;34753200
423;12.08.2019 01:00;34770844;34754400;34787400
424;12.08.2019 01:15;34805128;34788000;34821000
425;12.08.2019 01:30;34838656;34821600;34854000
426;12.08.2019 01:45;34870960;34854600;34887000
427;12.08.2019 02:00;34903660;34887000;34920600
428;12.08.2019 02:15;34937052;34921200;34953600
429;12.08.2019 02:30;34970444;34954200;34986600
430;12.08.2019 02:45;35003076;34986600;35019600
431;12.08.2019 03:00;35035988;35020200;35052600
432;12.08.2019 03:15;35069764;35053200;35085600
433;12.08.2019 03:30;35102368;35086800;35118000
434;12.08.2019 03:45;35135740;35118600;35151600
435;12.08.2019 04:00;35168296;35151600;35184000
436;12.08.2019 04:15;35199296;35184600;35214000
437;12.08.2019 04:30;35229852;35214600;35244600
438;12.08.2019 04:45;35260076;35245800;35275200
439;12.08.2019 05:00;35290464;35275800;35305800
440;12.08.2019 05:15;35321136;35306400;35337000
441;12.08.2019 05:30;35352624;35337600;35367600
442;12.08.2019 05:45;35383720;35368200;35398800
443;12.08.2019 06:00;35414160;35399400;35430000
444;12.08.2019 06:15;35445524;35430600;35461200
445;12.08.2019 06:30;35477232;35461200;35491800
446;12.08.2019 06:45;35508280;35492400;35523000
447;12.08.2019 07:00;35538048;35523600;35553600
448;12.08.2019 07:15;35570044;35553600;35586600
449;12.08.2019 07:30;35603108;35587200;35619000
450;12.08.2019 07:45;35636672;35620200;35652600
451;12.08.2019 08:00;35672936;35653800;35692200
452;12.08.2019 08:15;35711932;35692200;35731800
453;12.08.2019 08:30;35751644;35731800;35769600
454;12.08.2019 08:45;35790520;35771400;35811000
455;12.08.2019 09:00;35832848;35811600;35854200
456;12.08.2019 09:15;35877144;35854800;35898600
457;12.08.2019 09:30;35921332;35899200;35943600
458;12.08.2019 09:45;35969616;35944800;35998200
459;12.08.2019 10:00;36034636;35999400;36072000
460;12.08.2019 10:15;36115088;36073200;36162600
461;12.08.2019 10:30;36208828;36164400;36256800
462;12.08.2019 10:45;36310120;36258600;36360600
463;12.08.2019 11:00;36412324;36362400;36464400
464;12.08.2019 11:15;36519476;36466200;36568800
465;12.08.2019 11:30;36621804;36570600;36672000
466;12.08.2019 11:45;36728824;36673800;36779400
467;12.08.2019 12:00;36833508;36779400;36885600
468;12.08.2019 12:15;36941876;36887400;36993600
469;12.08.2019 12:30;37048172;36995400;37101600
470;12.08.2019 12:45;37157028;37103400;37211400
471;12.08.2019 13:00;37268692;37213200;37323600
472;12.08.2019 13:15;37378984;37323600;37435800
473;12.08.2019 13:30;37494416;37437600;37547400
474;12.08.2019 13:45;37605772;37549200;37660200
475;12.08.2019 14:00;37716752;37662000;37770600
476;12.08.2019 14:15;37827496;37772400;37885800
477;12.08.2019 14:30;37941492;37888200;38002800
478;12.08.2019 14:45;38064472;38005200;38123400
479;12.08.2019 15:00;38185340;38127600;38242800
480;12.08.2019 15:15;38305624;38245200;38364600
481;12.08.2019 15:30;38423296;38366400;38477400
482;12.08.2019 15:45;38533560;38479200;38592600
483;12.08.2019 16:00;38651044;38592600;38706000
484;12.08.2019 16:15;38762624;38707800;38820600
485;12.08.2019 16:30;38879980;38824800;38935800
486;12.08.2019 16:45;38995480;38940000;39048600
487;12.08.2019 17:00;39106788;39051000;39163200
488;12.08.2019 17:15;39221488;39165000;39278400
489;12.08.2019 17:30;39338184;39280800;39394200
490;12.08.2019 17:45;39452364;39396000;39507600
491;12.08.2019 18:00;39569308;39510000;39625800
492;12.08.2019 18:15;39686352;39628200;39742200
493;12.08.2019 18:30;39800332;39744000;39856200
494;12.08.2019 18:45;39916884;39860400;39973800
495;12.08.2019 19:00;40031176;39977400;40087200
496;12.08.2019 19:15;40148248;40091400;40204800
497;12.08.2019 19:30;40265808;40206600;40323000
498;12.08.2019 19:45;40383016;40324800;40443600
499;12.08.2019 20:00;40503636;40446000;40561200
500;12.08.2019 20:15;40622808;40563600;40682400
501;12.08.2019 20:30;40740856;40684800;40798800
502;12.08.2019 20:45;40858196;40801200;40915200
503;12.08.2019 21:00;40973428;40917600;41030400
504;12.08.2019 21:15;41088836;41032800;41146800
505;12.08.2019 21:30;41205208;41148600;41259000
506;12.08.2019 21:45;41316384;41260800;41372400
507;12.08.2019 22:00;41431304;41373000;41482200
508;12.08.2019 22:15;41524220;41484000;41556600
509;12.08.2019 22:30;41588020;41560200;41616000
510;12.08.2019 22:45;41644376;41618400;41671800
511;12.08.2019 23:00;41694828;41673000;41715600
512;12.08.2019 23:15;41736912;41716200;41755800
513;12.08.2019 23:30;41774112;41756400;41791200
514;12.08.2019 23:45;41806720;41791200;41820600
515;13.08.2019 00:00;41832924;41821200;41845800
516;13.08.2019 00:15;41859556;41845800;41873400
517;13.08.2019 00:30;41887512;41873400;41900400
518;13.08.2019 00:45;41915244;41901600;41929200
519;13.08.2019 01:00;41943888;41929800;41958600
520;13.08.2019 01:15;41972844;41959200;41986800
521;13.08.2019 01:30;42001816;41986800;42015000
522;13.08.2019 01:45;42030280;42015600;42042600
523;13.08.2019 02:00;42057064;42043200;42070200
524;13.08.2019 02:15;42084052;42070800;42097800
